P	b	68519
R	a	68851
R	s	68851
R	d	68852
R	b	68854
R	z	68869
P	z	68876
P	b	69204
P	a	69544
P	s	69914
P	d	70268
P	q	70960
R	q	71289
P	q	71304
R	t	71602
R	q	71604
R	s	71604
R	a	71604
R	z	71604
R	b	71605
R	d	71605
P	v	71635
P	y	71675
P	a	71977
P	q	71997
R	y	71999
P	y	72011
P	f	72305
R	q	72329
R	y	72329
P	y	72335
P	q	72341
R	a	72658
P	a	72670
P	t	72670
R	q	72679
P	q	72692
P	g	72992
R	q	73029
R	y	73029
P	q	73037
P	y	73040
R	a	73309
P	a	73382
R	t	73718
P	h	73725
R	q	73729
P	t	73733
P	q	73736
R	g	73899
P	r	74058
R	a	74059
P	a	74071
R	h	74401
R	t	74403
R	f	74403
R	y	74403
R	q	74403
R	r	74404
R	v	74406
P	c	74412
R	a	74419
P	y	74739
P	a	74743
P	d	75067
R	y	75069
P	y	75076
R	a	75389
P	a	75394
P	t	75424
R	y	75769
P	y	75774
P	h	75774
R	a	76109
P	a	76117
R	d	76429
P	d	76436
P	w	76477
R	h	76799
P	q	76803
P	h	76811
P	x	77144
R	w	77169
R	a	77171
R	h	77173
R	c	77173
R	d	77173
R	y	77173
R	q	77174
R	t	77174
P	w	77177
P	n	77494
P	r	77505
P	s	77834
R	r	77848
P	r	77854
R	n	78179
R	w	78179
P	w	78186
P	n	78190
R	r	78539
P	f	78545
P	r	78545
R	x	78799
R	n	78878
R	w	78878
P	w	78886
P	n	78886
R	s	78989
P	s	79212
R	r	79239
P	r	79251
R	n	79579
P	t	79583
P	n	79584
P	q	79816
R	t	79863
R	w	79863
R	r	79864
R	f	79864
R	n	79864
P	e	79874
R	s	79878
P	z	79915
P	y	79957
P	n	80291
P	a	80617
R	n	80959
P	n	80964
P	s	81303
R	n	81658
P	n	81673
P	w	82003
P	d	82003
R	z	82309
R	n	82348
R	q	82348
P	n	82355
P	q	82356
R	y	82369
R	s	82499
R	e	82499
R	a	82639
R	d	82648
R	w	82649
R	n	82649
R	q	82652
P	w	82712
P	v	83042
P	r	83063
R	r	83408
P	r	83414
R	v	83729
R	w	83729
P	v	83738
P	w	83743
R	r	84085
R	v	84085
P	t	84108
P	z	84113
R	w	84119
P	b	84445
R	z	84799
P	d	84803
P	z	84805
P	w	84826
R	b	85149
P	b	85154
P	q	85164
R	z	85441
R	b	85442
R	d	85442
R	t	85444
R	w	85444
R	q	85509
P	y	85523
P	q	85523
R	q	85859
R	y	85859
P	c	85863
P	q	85864
P	y	85871
R	q	86199
P	a	86207
P	q	86209
P	t	86209
R	c	86529
P	c	86535
R	y	86539
P	y	86548
R	q	86549
P	q	86555
R	a	86858
R	y	86860
R	c	86860
R	t	86860
P	x	86910
P	r	86912
P	n	87259
P	f	87613
P	w	87617
R	n	87938
R	q	87938
P	n	87945
P	q	87946
R	x	88249
R	n	88251
